"Date","Price","Open","High","Low","Vol.","Change %"
"05/26/2025","2,632.08","2,586.02","2,632.08","2,581.97","90.66M","2.01%"
"05/23/2025","2,580.13","2,591.53","2,595.12","2,577.04","83.70M","0.06%"
"05/22/2025","2,578.57","2,601.29","2,602.99","2,572.08","85.75M","-1.34%"
"05/21/2025","2,613.64","2,612.56","2,626.84","2,608.87","80.66M","0.69%"
"05/20/2025","2,595.83","2,613.57","2,619.16","2,591.30","79.24M","0.14%"
"05/19/2025","2,592.15","2,604.35","2,608.63","2,581.25","69.96M","-1.09%"
"05/16/2025","2,620.78","2,623.91","2,626.81","2,612.80","79.42M","0.28%"
"05/15/2025","2,613.46","2,628.04","2,640.08","2,609.75","73.14M","-0.78%"
"05/14/2025","2,634.02","2,622.61","2,643.92","2,615.82","91.59M","1.29%"
"05/13/2025","2,600.40","2,598.57","2,617.13","2,593.85","92.84M","-0.03%"
"05/12/2025","2,601.14","2,574.57","2,601.14","2,567.81","92.01M","1.76%"
"05/09/2025","2,556.18","2,567.75","2,569.53","2,550.27","64.38M","-0.03%"
"05/08/2025","2,556.99","2,568.22","2,573.18","2,556.99","92.06M","-0.10%"
"05/07/2025","2,559.62","2,557.97","2,566.12","2,544.05","93.42M","0.80%"
"05/02/2025","2,539.34","2,539.71","2,547.58","2,520.76","80.62M","-0.05%"
"04/30/2025","2,540.59","2,540.25","2,551.31","2,526.68","89.47M","-0.09%"
"04/29/2025","2,542.84","2,532.24","2,554.29","2,524.09","94.69M","0.54%"
"04/28/2025","2,529.17","2,531.79","2,539.38","2,521.41","89.20M","0.01%"
"04/25/2025","2,528.82","2,530.12","2,537.83","2,519.37","108.07M","0.92%"
"04/24/2025","2,505.74","2,509.05","2,515.59","2,489.62","73.95M","-0.18%"
"04/23/2025","2,510.25","2,505.94","2,511.91","2,491.97","69.00M","1.70%"
"04/22/2025","2,468.38","2,464.63","2,479.42","2,458.81","57.82M","-0.20%"
"04/21/2025","2,473.29","2,469.23","2,485.78","2,463.17","53.33M","0.31%"
"04/18/2025","2,465.59","2,451.15","2,469.81","2,446.83","56.70M","0.61%"
"04/17/2025","2,450.61","2,434.40","2,454.42","2,428.43","63.42M","0.83%"
"04/16/2025","2,430.43","2,457.80","2,461.14","2,425.05","62.50M","-1.48%"
"04/15/2025","2,466.90","2,456.57","2,474.51","2,454.97","56.54M","0.83%"
"04/14/2025","2,446.54","2,449.62","2,462.81","2,440.92","59.32M","0.93%"
"04/11/2025","2,424.08","2,400.28","2,427.20","2,391.33","78.55M","-1.03%"
"04/10/2025","2,449.31","2,400.62","2,449.31","2,396.58","108.09M","6.79%"
"04/09/2025","2,293.47","2,327.78","2,340.40","2,286.06","94.27M","-1.72%"
"04/08/2025","2,333.54","2,388.26","2,388.26","2,327.97","93.76M","0.13%"
"04/07/2025","2,330.54","2,359.78","2,373.65","2,329.62","114.65M","-5.82%"
"04/04/2025","2,474.48","2,466.17","2,526.04","2,447.95","107.35M","-1.40%"
"04/03/2025","2,509.61","2,459.66","2,509.61","2,459.66","83.46M","-1.00%"
"04/02/2025","2,534.94","2,554.25","2,561.51","2,529.73","68.46M","-0.60%"
"04/01/2025","2,550.25","2,538.33","2,561.18","2,519.98","68.03M","1.83%"
"03/31/2025","2,504.53","2,541.28","2,543.15","2,503.55","86.48M","-3.20%"
"03/28/2025","2,587.20","2,621.82","2,621.82","2,578.19","65.96M","-2.16%"
"03/27/2025","2,644.33","2,651.89","2,667.53","2,639.28","74.26M","-1.32%"
"03/26/2025","2,679.73","2,660.54","2,683.61","2,653.57","68.31M","1.19%"
"03/25/2025","2,648.28","2,686.43","2,688.82","2,645.26","81.09M","-0.59%"
"03/24/2025","2,663.93","2,667.30","2,684.87","2,660.11","59.53M","-0.59%"
"03/21/2025","2,679.65","2,666.12","2,680.71","2,652.86","147.13M","0.58%"
